England | outside League is | EPL
Ferguson | was in | charge from November 1986 until his retirement at end
Ferguson | was in | charge of Manchester United
he | was manager for | five years of old Football League First Division
Ferguson | was in | charge of Manchester United until his retirement at end of 2012 13 season
Ferguson | was in | charge of Manchester United from November 1986 until his retirement at end
Ferguson | was in | charge of Manchester United from November 1986 until his retirement
season | were sacked | recent José Mourinho of Manchester United
season | were sacked | José Mourinho
season | were sacked | most recent José Mourinho
season | were sacked | most recent José Mourinho of Manchester United
season | were sacked José Mourinho In | 2017
season | were sacked | José Mourinho of Manchester United
season | were sacked | recent José Mourinho
Professor Sue Bridgewater | performed | Dr. Bas ter Weel of University of Amsterdam
Professor Sue Bridgewater | performed | Dr. Bas ter Weel
Professor Sue Bridgewater | performed | Dr. Bas ter Weel of University
Professor Sue Bridgewater | famously performed | Dr. Bas ter Weel of University of Amsterdam
Professor Sue Bridgewater | Most famously performed | Dr. Bas ter Weel of University of Amsterdam
Professor Sue Bridgewater | Most famously performed | Dr. Bas ter Weel of University
Professor Sue Bridgewater | famously performed | Dr. Bas ter Weel
Professor Sue Bridgewater | Most famously performed | Dr. Bas ter Weel
Professor Sue Bridgewater | famously performed | Dr. Bas ter Weel of University
clubs | dropping below | average of one point
clubs | generally sack | their managers
clubs | dropping below | average per match
clubs | dropping below | average
clubs | sack | their managers
clubs | dropping below | average of one point per match
Bridgewater | has | study
inception | is in | 1992
figure | had increased to | 45 %
figure | had increased In | 2004 05 season
first Premier League side | field | line-up
first Premier League side | field | foreign starting line-up
Premier League side | field | starting line-up
Arsenal | name | squad for match
Arsenal | name | completely foreign squad for match
Chelsea | became Premier League side On | 26 December 1999
first Premier League side | field | entirely foreign line-up
first Premier League side | field | starting line-up
Arsenal | name | foreign 16-man squad for match
Arsenal | name | 16-man squad
Arsenal | name | foreign 16-man squad
Arsenal | were first on | 14 February 2005
Premier League side | field | entirely foreign starting line-up
Arsenal | name | foreign squad
Arsenal | name | 16-man squad for match
Premier League side | field | foreign line-up
Premier League side | field | line-up
Premier League side | field | entirely foreign line-up
Arsenal | name | completely foreign 16-man squad for match
Arsenal | name | completely foreign 16-man squad
Arsenal | name | foreign squad for match
first Premier League side | field | entirely foreign starting line-up
Arsenal | name | squad
first Premier League side | field | foreign line-up
Arsenal | name | completely foreign squad
Arsenal | were | first
Chelsea | became | first Premier League side
Chelsea | became | Premier League side
Premier League side | field | foreign starting line-up
English | were under | 40 % of players in Premier League
players | is in | Premier League
English | were under | 40 % of players
English | were under | 40 %
English | were By | 2009
Home Office | permits to | players from countries
Home Office | permits outside of | European Union
Home Office | permits to | players
its rules | permits to | players
its rules | permits to | players from countries
its rules | permits outside of | European Union
place | 70th at | least
Players | may | may only transferred
Players | may | may transferred
two transfer windows | run from | day of season
two transfer windows | run to | 31 August
transfer windows | run from | last day
transfer windows | run from | last day of season
transfer windows | run from | day of season
transfer windows | run to | 31 August
two transfer windows | run from | last day of season
transfer windows | run from | day
two transfer windows | run from | last day
two transfer windows | run from | day
club | register maximum squad with | squad list allowed
club | register | maximum squad
club | register | maximum squad of players aged
Premier League | introduced | new rules
Premier League | introduced rules As of | 2010 11 season
club | register | maximum squad of players aged over 21
club | register | maximum 25-man squad of players aged over 21
club | register maximum squad with | squad list only allowed
club | register | maximum 25-man squad of players aged
club | register | maximum 25-man squad
Premier League | introduced | rules mandating
Premier League | introduced | new rules mandating
club | register | maximum squad of players
club | register maximum squad with | squad list
club | register | maximum 25-man squad of players
Premier League | introduced | rules
This | was enable | home rule
This | was enable | home grown rule
player wages | rose sharply As | result of television deals
player wages | rose sharply As | result
player wages | rose sharply As | result of increasingly lucrative television deals
player wages | rose As | result
player wages | rose following | formation of Premier League
player wages | rose As | result of increasingly lucrative television deals
player wages | rose As | result of lucrative television deals
player wages | rose sharply following | formation
player wages | rose sharply As | result of lucrative television deals
player wages | rose sharply following | formation of Premier League
player wages | rose As | result of television deals
player wages | rose following | formation
salary | stood In | 2018 19 season
annual salary | stood at | # 2.99 million
average annual salary | stood In | 2018 19 season
annual salary | stood In | 2018 19 season
salary | stood at | # 2.99 million
average salary | stood at | # 2.99 million
average annual salary | stood at | # 2.99 million
average salary | stood In | 2018 19 season
this | compares to | # 1.05 bn
La Liga | bn in | Serie A
bn | bn in | Bundesliga
# 0.72 bn | is in | Bundesliga
bn | is in | Serie A
# 1.05 bn | is in | La Liga
this | compares to | # 1.05 bn in La Liga
total salary bill | is in | 2018
0.54 bn | is in | Ligue 1
club | is | Manchester United at # 6.5 m
club | is with | highest average wages
club | is | Manchester United
This | is | smaller
This | is smaller than | club with highest wage bill in Spain
highest wage bill | is in | Spain
This | is smaller than | club with highest wage bill
This | is smaller than | club
This | is smaller than | club with wage bill
club | is with | highest wage bill in Spain
This | is smaller than | club with wage bill in Spain
Th ratio | is 6.82 to | 1
This | is | much lower
This | is lower than | than La Liga
This | is much lower than | than La Liga
This | is | lower
it | is | regarded
team wage bills | is in | Premier League
it | is regarded Because of | lower differential between team wage bills in Premier League
it | is often regarded Because of | lower differential between team wage bills
it | is | often regarded
it | is often regarded Because of | differential
it | is regarded Because of | lower differential between team wage bills
it | is often regarded Because of | lower differential
it | is regarded Because of | differential
it | is regarded Because of | lower differential
it | is often regarded Because of | differential between team wage bills in Premier League
it | is regarded Because of | differential between team wage bills
it | is often regarded Because of | lower differential between team wage bills in Premier League
it | is often regarded Because of | differential between team wage bills
it | is regarded Because of | differential between team wage bills in Premier League
record transfer fee | has risen steadily over | lifetime
record transfer fee | has risen steadily over | lifetime of competition
record transfer fee | has risen over | lifetime
record transfer fee | has risen over | lifetime of competition
first player | command | transfer fee
first British player | command | transfer fee
British player | command | transfer fee
player | command | transfer fee
expensive transfer | involving | Premier League club
transfer | involving | Premier League club
expensive transfer | involving Premier League club at | # 106 million
Philippe Coutinho | is | now most expensive transfer
transfer | involving Premier League club at | # 106 million
Philippe Coutinho | is | now expensive transfer
Philippe Coutinho | is | transfer
Philippe Coutinho | is | most expensive transfer
Philippe Coutinho | is | now transfer
Philippe Coutinho | is | expensive transfer
highest transfer fee | is | # 89 million for Paul Pogba
transfer fee | is | # 89 million for Paul Pogba
transfer fee | paid by | Premier League club
highest transfer fee | paid by | Premier League club
Golden Boot | is | awarded to Premier League scorer at end of season
Golden Boot | is | awarded to top Premier League scorer at end of season
Golden Boot | is | awarded
Golden Boot | is awarded to | Premier League scorer
Golden Boot | is awarded at | end of season
Golden Boot | is awarded to | top Premier League scorer
Former Blackburn Rovers | holds | record for Premier League goals with 260
most Premier League goals | is with | 260
Former Blackburn Rovers | holds | record for most Premier League goals with 260
Former Blackburn Rovers | holds | Newcastle United striker Alan Shearer
Twenty-eight players | have reached | 100-goal mark
Twenty-eight players | have reached | mark
players | have reached | 100-goal mark
players | have reached | mark
first Premier League season | is in | 1992
scorers title | players from | 10 clubs
top scorers title | players from | 10 clubs
Thierry Henry | won | his fourth scoring title
Thierry Henry | won | his overall scoring title
Thierry Henry | won | his scoring title
Thierry Henry | scoring | 27 goals
Thierry Henry | won | his fourth overall scoring title
most goals | is in | season
record | scoring goals in | consecutive seasons
record | scoring | goals
Ryan Giggs | scored in | first 21 seasons of league
Ryan Giggs | scored in | 21 seasons
Ryan Giggs | scored in | first 21 seasons
Ryan Giggs | holds | record
Ryan Giggs | scored in | 21 seasons of league
record | scoring goals in | seasons
Premier League | maintains | two trophies
two clubs | could win League on | day of season
two clubs | could win League on | final day of season
two clubs | could win | League
clubs | could win League on | day of season
two clubs | could win League on | day
trophies | are | held
clubs | could win League on | final day
two clubs | could win League on | final day
Two trophies | are | held
clubs | could win | League
clubs | could win League on | day
clubs | could win League on | final day of season
replica | won by | club
replica | is | used
replica | won by | previous club
current Premier League trophy | was created by | Royal Jewellers Asprey
current Premier League trophy | was | created
Premier League trophy | was created by | Royal Jewellers Asprey
Premier League trophy | was | created
Premier League trophy | was created by | Royal Jewellers Asprey of London
current Premier League trophy | was created by | Royal Jewellers Asprey of London
It | consists of | trophy with golden crown
It | consists of | trophy with crown
It | consists of | trophy
trophy | is with | golden crown
trophy | tall | plinth
trophy | are | tall
Its main body | is | solid sterling silver
its plinth | is made of | malachite
Its body | is | solid sterling silver
Its body | is | sterling silver
its plinth | is | made
Its main body | is | sterling silver
names | are | listed
plinth | has | silver band
names | are | upon which listed
plinth | has | band
Malachite 's colour | is | representative
Malachite 's green colour | is representative of | field of play
Malachite 's green colour | is representative of | field
Malachite 's colour | is also representative of | field of play
Malachite 's colour | is representative of | field of play
Malachite 's colour | is representative of | green field of play
Malachite 's green colour | is | also representative
Malachite 's green colour | is also representative of | green field
Malachite 's green colour | is | representative
Malachite 's green colour | is also representative of | field of play
Malachite 's colour | is also representative of | green field of play
Malachite 's colour | is | also representative
Malachite 's green colour | is representative of | green field of play
Malachite 's colour | is also representative of | field
Malachite | has | green colour
Malachite 's colour | is also representative of | green field
Malachite 's green colour | is also representative of | field
Malachite 's colour | is representative of | green field
Malachite 's green colour | is representative of | green field
Malachite 's colour | is representative of | field
Malachite 's green colour | is also representative of | green field of play
design | is | based
design | is based on | heraldry
he | raises | trophy
Arsenal | winning title without | defeat
Arsenal | winning | title
gold version | was | commissioned
special gold version | was | commissioned
Arsenal | winning title without | single defeat
gold version | commemorate | Arsenal
special gold version | commemorate | Arsenal
special gold version | was commissioned In | 2004
gold version | was commissioned In | 2004
Premier League | also issues | other awards throughout season
winner | In addition to | trophy
Premier League | issues | awards throughout season
Premier League | also issues | awards
Premier League | issues | awards
Premier League | also issues | other awards
Premier League | issues | other awards
Premier League | also issues | awards throughout season
Premier League | issues | other awards throughout season
individual winner | has | medals awarded to players
Premier League | issues awards In addition to | winner 's trophy
Premier League | also issues awards In addition to | winner 's trophy
greatest impact | is in | individual match
man | is | awarded
Monthly awards | are also given for | Player
Monthly awards | are given for | Manager of Month
awards | are given for | Player of Month
awards | are also given for | Manager
awards | are | also given
awards | are given for | Manager of Month
Monthly awards | are given for | Manager
Monthly awards | are | given
Monthly awards | are | also given
Monthly awards | are given for | Player
awards | are also given for | Player of Month
Monthly awards | are also given for | Manager
awards | are also given for | Player
awards | are | given
awards | are given for | Player
awards | are also given for | Manager of Month
Monthly awards | are given for | Player of Month
Manager | Player of | Month
Monthly awards | are also given for | Player of Month
awards | are given for | Manager
Monthly awards | are also given for | Manager of Month
These | are also issued annually for | Manager of Season
These | are issued annually for | Player
Manager | Player of | Season
These | are issued for | Player of Season
These | are issued for | Manager of Season
These | are | issued
These | are also issued for | Player of Season
These | are | issued annually
These | are also issued annually for | Manager
These | are also issued for | Manager
These | are also issued for | Player
These | are issued for | Player
These | are | also issued
These | are issued annually for | Player of Season
These | are issued annually for | Manager
These | are | also issued annually
These | are issued for | Manager
These | are also issued annually for | Player of Season
These | are also issued annually for | Player
These | are also issued for | Manager of Season
These | are issued annually for | Manager of Season
Golden Boot award | is | given
goalkeeper | is with | most clean sheets
Playmaker | is | given
plaque | commemorating | their achievement
Premier League | celebrated | its decade
Premier League | celebrated | its second decade
Premier League | holding | 20 Seasons Awards
